t;sucrose_input_rate;soil_temperature
704;3.92E-10;20
705;3.95E-10;20
706;3.97E-10;20
707;4.00E-10;20
708;4.02E-10;20
709;4.05E-10;20
710;4.07E-10;20
711;4.10E-10;20
712;4.13E-10;20
713;4.15E-10;20
714;4.18E-10;20
715;4.20E-10;20
716;4.23E-10;20
717;4.25E-10;20
718;4.28E-10;20
719;4.31E-10;20
720;4.33E-10;20
721;4.36E-10;20
722;4.38E-10;20
723;4.41E-10;20
724;4.43E-10;20
725;4.46E-10;20
726;4.48E-10;20
727;4.50E-10;20
728;4.53E-10;20
729;4.55E-10;20
730;4.58E-10;20
731;4.60E-10;20
732;4.63E-10;20
733;4.65E-10;20
734;4.68E-10;20
735;4.70E-10;20
736;4.73E-10;20
737;4.75E-10;20
738;4.77E-10;20
739;4.80E-10;20
740;4.82E-10;20
741;4.85E-10;20
742;4.87E-10;20
743;4.90E-10;20
744;4.92E-10;20
745;4.95E-10;20
746;4.98E-10;20
747;5.00E-10;20
748;5.03E-10;20
749;5.05E-10;20
750;5.08E-10;20
751;5.10E-10;20
752;5.13E-10;20
753;5.15E-10;20
754;5.18E-10;20
755;5.21E-10;20
756;5.23E-10;20
757;5.26E-10;20
758;5.28E-10;20
759;5.31E-10;20
760;5.33E-10;20
761;5.36E-10;20
762;5.39E-10;20
763;5.41E-10;20
764;5.44E-10;20
765;5.47E-10;20
766;5.49E-10;20
767;5.52E-10;20
768;5.55E-10;20
769;5.58E-10;20
770;5.60E-10;20
771;5.63E-10;20
772;5.66E-10;20
773;5.68E-10;20
774;5.71E-10;20
775;5.74E-10;20
776;5.77E-10;20
777;5.79E-10;20
778;5.82E-10;20
779;5.85E-10;20
780;5.87E-10;20
781;5.90E-10;20
782;5.93E-10;20
783;5.96E-10;20
784;5.99E-10;20
785;6.02E-10;20
786;6.05E-10;20
787;6.08E-10;20
788;6.11E-10;20
789;6.14E-10;20
790;6.17E-10;20
791;6.20E-10;20
792;6.23E-10;20
793;6.26E-10;20
794;6.29E-10;20
795;6.32E-10;20
796;6.35E-10;20
797;6.38E-10;20
798;6.41E-10;20
799;6.44E-10;20
800;6.47E-10;20
801;6.50E-10;20
802;6.54E-10;20
803;6.57E-10;20
804;6.60E-10;20
805;6.64E-10;20
806;6.67E-10;20
807;6.70E-10;20
808;6.74E-10;20
809;6.77E-10;20
810;6.80E-10;20
811;6.83E-10;20
812;6.87E-10;20
813;6.90E-10;20
814;6.93E-10;20
815;6.97E-10;20
816;7.00E-10;20
817;7.03E-10;20
818;7.07E-10;20
819;7.10E-10;20
820;7.14E-10;20
821;7.18E-10;20
822;7.21E-10;20
823;7.25E-10;20
824;7.28E-10;20
825;7.32E-10;20
826;7.36E-10;20
827;7.39E-10;20
828;7.43E-10;20
829;7.46E-10;20
830;7.50E-10;20
831;7.53E-10;20
832;7.57E-10;20
833;7.61E-10;20
834;7.64E-10;20
835;7.68E-10;20
836;7.71E-10;20
837;7.75E-10;20
838;7.78E-10;20
839;7.82E-10;20
840;7.86E-10;20
841;7.89E-10;20
842;7.93E-10;20
843;7.96E-10;20
844;8.00E-10;20
845;8.04E-10;20
846;8.07E-10;20
847;8.11E-10;20
848;8.14E-10;20
849;8.18E-10;20
850;8.21E-10;20
851;8.25E-10;20
852;8.28E-10;20
853;8.32E-10;20
854;8.35E-10;20
855;8.39E-10;20
856;8.43E-10;20
857;8.46E-10;20
858;8.50E-10;20
859;8.53E-10;20
860;8.57E-10;20
861;8.60E-10;20
862;8.64E-10;20
863;8.67E-10;20
864;8.71E-10;20
865;8.74E-10;20
866;8.78E-10;20
867;8.81E-10;20
868;8.84E-10;20
869;8.88E-10;20
870;8.91E-10;20
871;8.95E-10;20
872;8.98E-10;20
873;9.01E-10;20
874;9.05E-10;20
875;9.08E-10;20
876;9.12E-10;20
877;9.15E-10;20
878;9.19E-10;20
879;9.22E-10;20
880;9.25E-10;20
881;9.29E-10;20
882;9.32E-10;20
883;9.35E-10;20
884;9.39E-10;20
885;9.42E-10;20
886;9.45E-10;20
887;9.48E-10;20
888;9.51E-10;20
889;9.55E-10;20
890;9.58E-10;20
891;9.61E-10;20
892;9.64E-10;20
893;9.68E-10;20
894;9.71E-10;20
895;9.74E-10;20
896;9.77E-10;20
897;9.80E-10;20
898;9.84E-10;20
899;9.87E-10;20
900;9.90E-10;20
901;9.93E-10;20
902;9.96E-10;20
903;1.00E-09;20
904;1.00E-09;20
905;1.01E-09;20
906;1.01E-09;20
907;1.01E-09;20
908;1.02E-09;20
909;1.02E-09;20
910;1.02E-09;20
911;1.03E-09;20
912;1.03E-09;20
913;1.03E-09;20
914;1.03E-09;20
915;1.04E-09;20
916;1.04E-09;20
917;1.04E-09;20
918;1.05E-09;20
919;1.05E-09;20
920;1.05E-09;20
921;1.06E-09;20
922;1.06E-09;20
923;1.06E-09;20
924;1.06E-09;20
925;1.07E-09;20
926;1.07E-09;20
927;1.07E-09;20
928;1.08E-09;20
929;1.08E-09;20
930;1.08E-09;20
931;1.08E-09;20
932;1.09E-09;20
933;1.09E-09;20
934;1.09E-09;20
935;1.10E-09;20
936;1.10E-09;20
937;1.10E-09;20
938;1.10E-09;20
939;1.11E-09;20
940;1.11E-09;20
941;1.11E-09;20
942;1.11E-09;20
943;1.12E-09;20
944;1.12E-09;20
945;1.12E-09;20
946;1.13E-09;20
947;1.13E-09;20
948;1.13E-09;20
949;1.13E-09;20
950;1.14E-09;20
951;1.14E-09;20
952;1.14E-09;20
953;1.14E-09;20
954;1.15E-09;20
955;1.15E-09;20
956;1.15E-09;20
957;1.15E-09;20
958;1.15E-09;20
959;1.16E-09;20
960;1.16E-09;20
961;1.16E-09;20
962;1.16E-09;20
963;1.16E-09;20
964;1.17E-09;20
965;1.17E-09;20
966;1.17E-09;20
967;1.17E-09;20
968;1.18E-09;20
969;1.18E-09;20
970;1.18E-09;20
971;1.18E-09;20
972;1.18E-09;20
973;1.19E-09;20
974;1.19E-09;20
975;1.19E-09;20
976;1.19E-09;20
977;1.19E-09;20
978;1.20E-09;20
979;1.20E-09;20
980;1.20E-09;20
981;1.20E-09;20
982;1.20E-09;20
983;1.21E-09;20
984;1.21E-09;20
985;1.21E-09;20
986;1.21E-09;20
987;1.21E-09;20
988;1.22E-09;20
989;1.22E-09;20
990;1.22E-09;20
991;1.22E-09;20
992;1.22E-09;20
993;1.23E-09;20
994;1.23E-09;20
995;1.23E-09;20
996;1.23E-09;20
997;1.23E-09;20
998;1.24E-09;20
999;1.24E-09;20
1000;1.24E-09;20
1001;1.24E-09;20
1002;1.24E-09;20
1003;1.25E-09;20
1004;1.25E-09;20
1005;1.25E-09;20
1006;1.25E-09;20
1007;1.26E-09;20
1008;1.26E-09;20
1009;1.26E-09;20
